Machine_ID,Product_ID,Date,Due_Amount,Actual_Amount
A,P006,2017-09-18,3.0,3.0
E,P005,2017-12-09,1.5,5.5
D,P006,2017-01-18,3.0,3.0
E,P012,2017-06-24,2.0,2.0
D,P017,2017-12-04,1.5,4.75
D,P006,2017-06-26,3.0,3.0
E,P011,2017-01-02,2.0,2.0
E,P022,2017-10-01,2.0,
D,P011,2017-03-12,2.5,2.5
C,P019,2017-07-03,3.0,3.0
A,P001,2017-12-26,,3.5
E,P013,2017-11-17,1.5,1.5
C,P008,2017-05-22,2.5,2.5
D,P006,2017-05-07,3.0,7.0
A,P019,2017-09-16,,1.5
E,P012,2017-09-19,2.0,3.5
E,P012,2017-01-29,2.0,2.0
D,P006,2017-10-08,3.0,3.0
A,P014,2017-01-30,,1.5
E,P011,2017-04-17,2.0,2.0
A,P006,2017-12-09,3.0,3.0
D,P006,2017-03-07,3.0,3.0
E,P019,2017-07-24,,2.0
D,P006,2017-09-29,3.0,4.5
C,P022,2017-05-29,2.0,2.0
D,P011,2017-06-10,2.5,2.5
C,P022,2017-03-12,2.0,2.0
C,P012,2017-04-03,2.0,2.0
D,P006,2017-12-11,3.0,3.0
B,P006,2017-11-30,3.0,3.0
D,P006,2017-03-05,3.0,3.0
D,P011,2017-07-28,2.5,4.0
E,P014,2017-10-04,1.5,
D,P011,2017-05-15,2.5,2.5
D,P011,2017-09-07,2.5,2.5
B,P006,2017-08-18,3.0,4.5
D,P011,2017-10-31,2.0,2.0
D,P017,2017-07-10,1.5,1.5
D,P006,2017-05-28,,3.0
D,P006,2017-06-07,3.0,3.0
D,P018,2017-02-27,1.5,1.5
C,P008,2017-05-20,2.5,2.5
A,P011,2017-06-10,2.0,
D,P006,2017-07-24,3.0,3.0
E,P014,2017-08-06,1.5,1.5
D,P017,2017-03-14,1.5,1.5
E,P014,2017-07-06,1.5,1.5
E,P014,2017-03-09,1.5,3.5
D,P006,2017-09-07,3.0,3.0
D,P017,2017-01-01,2.0,2.0
C,P022,2017-12-06,2.0,2.0
E,P002,2017-08-17,1.5,1.5
D,P006,2017-06-20,3.0,3.0
D,P017,2017-06-13,1.5,1.5
A,P006,2017-10-01,3.0,3.0
D,P006,2017-07-22,3.0,3.0
D,P011,2017-11-09,2.0,4.5
E,P008,2017-09-07,2.5,2.5
C,P022,2017-05-17,2.0,2.0
D,P006,2017-09-10,3.0,3.0
D,P006,2017-06-13,3.0,3.0
C,P015,2017-02-12,2.0,3.25
E,P005,2017-09-26,1.5,1.5
C,P005,2017-07-06,1.5,1.5
C,P002,2017-12-19,1.5,1.5
C,P008,2017-12-16,2.5,2.5
D,P011,2017-05-09,2.5,
C,P012,2017-03-28,2.0,2.0
B,P012,2017-09-11,2.0,2.0
E,P014,2017-05-30,1.5,1.5
E,P012,2017-12-25,2.0,5.5
E,P004,2017-02-03,1.5,1.5
D,P011,2017-01-29,2.0,2.0
C,P004,2017-10-31,1.5,1.5
A,P002,2017-12-02,1.5,1.5
D,P006,2017-04-28,3.0,3.0
E,P012,2017-08-02,2.0,2.0
C,P008,2017-01-11,2.5,2.5
A,P001,2017-02-06,3.5,3.5
E,P012,2017-05-10,2.0,2.0
E,P019,2017-01-02,2.0,4.0
B,P011,2017-01-14,2.0,2.0
D,P021,2017-04-03,2.0,5.5
C,P008,2017-01-15,2.5,2.5
A,P019,2017-06-16,1.25,1.25
D,P008,2017-08-11,2.5,2.5
C,P012,2017-10-03,2.0,2.0
E,P005,2017-06-20,1.5,1.5
C,P008,2017-07-15,2.5,4.0
B,P011,2017-03-23,2.0,2.0
E,P014,2017-09-30,1.5,1.5
D,P006,2017-07-16,3.0,3.0
C,P022,2017-10-23,2.0,2.0
A,P011,2017-09-17,2.0,2.0
C,P022,2017-03-04,2.0,2.0
E,P022,2017-05-19,2.0,2.0
D,P006,2017-05-28,3.0,3.0
B,P007,2017-11-12,2.5,2.5
B,P011,2017-07-21,6.0,6.0
D,P017,2017-11-19,1.5,1.5
E,P007,2017-07-27,2.5,2.5
B,P006,2017-03-21,3.0,3.0
C,P002,2017-08-16,1.25,3.75
A,P016,2017-11-11,2.75,2.75
D,P006,2017-10-21,3.0,3.0
A,P019,2017-09-18,1.25,4.0
E,P019,2017-09-08,2.0,2.0
E,P014,2017-08-31,1.5,1.5
C,P022,2017-10-23,2.0,2.0
D,P006,2017-03-21,3.0,3.0
B,P011,2017-02-04,2.0,2.0
E,P013,2017-02-27,1.5,3.5
D,P011,2017-04-06,2.0,3.25
D,P017,2017-02-02,2.0,2.0
C,P011,2017-05-04,1.75,3.75
D,P006,2017-12-25,3.0,3.0
D,P017,2017-10-21,1.5,1.5
E,P022,2017-05-15,2.0,2.0
C,P022,2017-05-25,2.0,2.0
D,P006,2017-09-27,3.0,3.0
B,P013,2017-04-14,1.5,1.5
E,P019,2017-07-24,0.0,0.0
D,P011,2017-10-08,2.5,2.5
E,P007,2017-12-18,2.5,4.5
E,P013,2017-10-06,1.5,1.5
A,P014,2017-08-14,1.5,1.5
D,P006,2017-04-19,3.0,6.0
B,P002,2017-06-28,1.5,1.5
E,P001,2017-08-04,3.5,6.25
A,P019,2017-02-23,2.0,2.0
B,P006,2017-12-18,3.0,3.0
A,P002,2017-10-19,1.5,1.5
D,P006,2017-09-05,3.0,3.0
A,P004,2017-11-10,3.0,3.0
C,P012,2017-07-15,2.0,2.0
B,P011,2017-07-14,2.0,2.0
D,P002,2017-04-21,,
E,P019,2017-01-16,2.0,2.0
E,P019,2017-09-18,2.0,2.0
E,P013,2017-10-09,1.5,1.5
E,P019,2017-03-26,2.0,2.0
D,P006,2017-04-25,3.0,3.0
C,P015,2017-11-16,2.0,2.0
C,P022,2017-11-13,2.0,2.0
D,P002,2017-12-09,1.5,1.5
E,P020,2017-01-01,1.5,1.5
C,P015,2017-02-11,2.0,2.0
D,P006,2017-11-18,3.0,3.0
D,P011,2017-12-21,2.5,2.5
D,P011,2017-09-06,2.0,2.0
D,P006,2017-09-12,3.25,3.25
D,P006,2017-06-15,3.0,3.0
D,P017,2017-12-15,1.5,1.5
E,P005,2017-09-14,1.5,1.5
D,P006,2017-09-11,3.0,3.0
D,P011,2017-06-10,2.0,2.0
A,P004,2017-12-31,1.5,1.5
E,P012,2017-08-14,2.0,2.0
E,P002,2017-02-19,1.5,1.5
A,P019,2017-04-12,1.5,1.5
D,P006,2017-09-10,3.0,3.0
A,P011,2017-01-28,2.0,2.0
D,P011,2017-01-04,2.5,2.5
E,P019,2017-01-25,1.5,1.5
E,P022,2017-10-04,2.0,3.5
D,P017,2017-08-28,1.5,1.5
D,P002,2017-04-26,1.5,1.5
C,P022,2017-12-17,2.0,2.0
D,P006,2017-07-29,3.0,3.0
D,P011,2017-03-20,2.5,2.5
B,P012,2017-10-01,2.0,2.0
A,P019,2017-11-11,1.5,1.5
D,P006,2017-09-05,3.0,3.0
D,P020,2017-02-15,1.0,1.0
D,P017,2017-10-20,1.5,1.5
A,P019,2017-02-18,1.5,1.5
D,P006,2017-08-10,3.0,3.0
D,P011,2017-08-14,2.0,2.0
D,P009,2017-02-27,1.5,1.5
D,P008,2017-04-14,2.5,2.5
A,P019,2017-11-13,1.5,1.5
B,P011,2017-06-25,2.0,6.0
A,P002,2017-10-19,1.5,1.5
D,P008,2017-10-10,2.5,2.5
D,P008,2017-07-17,2.5,2.5
D,P006,2017-05-20,3.0,3.0
B,P011,2017-11-30,2.0,2.0
C,P022,2017-12-13,2.0,2.0
C,P002,2017-03-03,2.5,3.75
D,P006,2017-04-15,3.0,3.0
E,P012,2017-10-21,2.0,3.5
D,P006,2017-04-22,3.0,3.0
E,P014,2017-11-02,1.5,1.5
C,P022,2017-12-06,2.0,2.0
D,P017,2017-05-16,1.5,1.5
D,P006,2017-04-29,3.0,3.0
A,P006,2017-04-22,3.0,3.0
D,P006,2017-10-29,3.0,3.0
D,P006,2017-02-29,3.0,3.0
B,P011,2017-05-31,2.0,2.0
E,P002,2017-02-05,1.5,1.5
D,P006,2017-10-23,3.0,3.0
E,P022,2017-10-09,2.0,2.0
E,P012,2017-04-10,2.0,2.0
D,P006,2017-10-08,3.0,3.0
B,P006,2017-11-07,3.0,3.0
E,P001,2017-03-04,3.5,3.5
D,P011,2017-10-17,2.0,5.0
A,P014,2017-08-05,1.5,1.5
D,P006,2017-02-08,3.0,3.0
B,P003,2017-05-31,2.75,2.75
