Product_ID,Category
P001,Carbonated
P002,Food
P003,Non Carbonated
P004,Food
P005,Food
P006,Carbonated
P007,Food
P008,Non Carbonated
P009,Food
P010,Food
P011,Food
P012,Food
P013,Carbonated
P014,Food
P015,Food
P016,Water
P017,Food
P018,Food
P019,Food
P020,Food
P021,Food
P022,Food
P023,Food
P024,Food
P025,Water
P026,Food
P027,Food
P028,Food
P029,Water
P030,Water
P031,Food
P032,Non Carbonated
P033,Non Carbonated
P034,Non Carbonated
P035,Water
P036,Food
P037,Food
P038,Non Carbonated
P039,Carbonated
P040,Food
P041,Non Carbonated
P042,Carbonated
P043,Food
P044,Food
P045,Carbonated
P046,Carbonated
P047,Food
P048,Food
P049,Food
P050,Food
P051,Water
P052,Food
P053,Water
P054,Food
P055,Food
P056,Food
P057,Non Carbonated
P058,Carbonated
P059,Food
P060,Non Carbonated
P061,Food
P062,Food
P063,Food
P064,Food
P065,Carbonated
P066,Food
P067,Water
P068,Food
P069,Food
P070,Food
P071,Carbonated
P072,Food
P073,Food
P074,Food
P075,Food
P076,Food
P077,Food
P078,Food
P079,Food
P080,Food
P081,Food
P082,Non Carbonated
P083,Food
P084,Food
P085,Food
P086,Food
P087,Food
P088,Food
P089,Non Carbonated
P090,Water
P091,Food
P092,Food
P093,Carbonated
P094,Non Carbonated
P095,Food
P096,Food
P097,Food
P098,
P099,Food
P100,Food
P101,Food
P102,Non Carbonated
P103,Non Carbonated
P104,Food
P105,Carbonated
P106,
P107,Carbonated
P108,Food
P109,Food
P110,Food
P111,Food
P112,Food
P113,Food
P114,Food
P115,Non Carbonated
P116,Food
P117,Food
P118,Food
P119,Food
P120,Food
P121,Non Carbonated
P122,Food
P123,Non Carbonated
P124,Food
P125,Carbonated
P126,Food
P127,Food
P128,Food
P129,Food
P130,Water
P131,Food
P132,Water
P133,Food
P134,Food
P135,Food
P136,Food
P137,Food
P138,Food
P139,Food
P140,Food
P141,
P142,Food
P143,
P144,
P145,
P146,Non Carbonated
P147,
P148,Food
P149,Food
P150,Food
P151,
P152,
P153,Non Carbonated
P154,Food
P155,Food
P156,Food
P157,Carbonated
P158,Non Carbonated
P159,Food
P160,Food
P161,Carbonated
P162,Non Carbonated
P163,Non Carbonated
P164,Non Carbonated
P165,Non Carbonated
P166,Food
P167,Food
P168,Food
P169,Food
P170,Food
P171,Food
P172,Food
P173,Food
P174,Food
P175,Food
P176,Food
P177,Food
P178,Food
P179,Carbonated
P180,Food
P181,Food
P182,Food
P183,Food
P184,Food
P185,Food
P186,Food
