年纪,工作性质,家庭收入,学位,婚姻状况,工作类型,家庭情况,族裔,性别,工作地点,标签
22,Unemployed,165070,Highschool,Married,Full-time,Living with Roommates,Hispanic,Male,Suburban,1
34,Unemployed,109889,Highschool,Married,Intern,Living with Family,Asian,Female,Rural,1
23,Private,89756,Master,Divorced,Contract,Living with Roommates,Hispanic,Female,Rural,1
41,Private,177470,Bachelor,Divorced,Part-time,Living with Family,Black,Male,Rural,1
51,Government,112858,Master,Married,Contract,Living with Family,Asian,Male,Urban,1
40,Private,137753,PhD,Divorced,Full-time,Living with Roommates,Asian,Female,Urban,1
23,Unemployed,20138,PhD,Single,Full-time,Living with Family,Asian,Female,Suburban,0
65,Private,198911,PhD,Single,Intern,Living with Family,Other,Male,Suburban,1
44,Self-emp,18331,Master,Widowed,Part-time,Living with Family,Hispanic,Male,Rural,0
32,Unemployed,185635,Highschool,Widowed,Intern,Living with Family,Hispanic,Female,Suburban,1
49,Self-emp,132090,Bachelor,Widowed,Intern,Living Alone,Other,Female,Suburban,1
31,Government,13705,Bachelor,Married,Contract,Living with Family,White,Male,Suburban,0
45,Private,160408,PhD,Single,Full-time,Living with Family,Black,Female,Rural,1
63,Unemployed,131974,Bachelor,Married,Contract,Living Alone,White,Male,Suburban,1
55,Government,82737,Bachelor,Divorced,Part-time,Living Alone,Asian,Male,Urban,1
54,Private,138621,Master,Divorced,Full-time,Living with Roommates,Asian,Female,Rural,1
41,Private,110084,Bachelor,Single,Part-time,Living with Roommates,Other,Male,Rural,1
53,Government,173887,PhD,Single,Intern,Living Alone,Hispanic,Male,Rural,1
39,Self-emp,60545,Master,Widowed,Contract,Living Alone,Hispanic,Female,Urban,1
39,Private,192546,Highschool,Married,Part-time,Living Alone,Asian,Female,Urban,1
52,Unemployed,44426,Bachelor,Single,Intern,Living with Family,Other,Male,Suburban,0
51,Unemployed,100270,Master,Married,Contract,Living with Roommates,Hispanic,Male,Suburban,1
20,Unemployed,196252,PhD,Widowed,Contract,Living with Family,Asian,Female,Urban,1
59,Government,191720,Highschool,Widowed,Part-time,Living with Roommates,Hispanic,Female,Rural,1
70,Unemployed,34897,Master,Married,Full-time,Living with Roommates,White,Female,Rural,0
31,Government,79919,Highschool,Single,Contract,Living with Roommates,Asian,Male,Rural,1
24,Unemployed,151781,Highschool,Widowed,Contract,Living with Roommates,Black,Female,Suburban,1
23,Self-emp,128153,Highschool,Single,Part-time,Living Alone,Hispanic,Male,Suburban,1
28,Private,122295,Bachelor,Widowed,Intern,Living Alone,Hispanic,Male,Rural,1
28,Private,155296,Bachelor,Single,Full-time,Living with Roommates,Asian,Female,Rural,1
44,Unemployed,194570,PhD,Widowed,Intern,Living with Roommates,Hispanic,Male,Urban,1
30,Self-emp,84606,PhD,Married,Intern,Living with Family,Black,Male,Suburban,1
